GISJOIN,AJWME001
G24000100001001,587
G24000100001002,1998
G24000100001003,1080
G24000100002001,696
G24000100002002,1106
G24000100002003,2114
G24000100003001,1380
G24000100003002,586
G24000100003003,770
G24000100004001,722
G24000100004002,1255
G24000100004003,877
G24000100005001,1363
G24000100005002,954
G24000100006001,1924
G24000100006002,1002
G24000100007001,1499
G24000100007002,1860
G24000100008001,969
G24000100008002,1112
G24000100010001,1559
G24000100010002,849
G24000100011001,1288
G24000100012001,1682
G24000100012002,766
G24000100012003,698
G24000100013001,1272
G24000100013002,4036
G24000100014011,834
G24000100014012,1852
G24000100014013,1136
G24000100014021,1498
G24000100015021,2037
G24000100015031,474
G24000100015032,565
G24000100015033,717
G24000100016001,1664
G24000100017001,402
G24000100017002,1005
G24000100017003,1791
G24000100017004,1892
G24000100018001,1872
G24000100018002,770
G24000100018003,1974
G24000100019001,1390
G24000100019002,1414
G24000100020001,1489
G24000100020002,2967
G24000100020003,1094
G24000100021001,2167
G24000100021002,1012
G24000100022001,1144
G24000100022002,1451
G24000100022003,1362
G24000307011011,819
G24000307011012,842
G24000307011013,777
G24000307011014,1713
G24000307011021,2661
G24000307011022,821
G24000307011023,2398
G24000307011024,2190
G24000307012001,2512
G24000307012002,1307
G24000307012003,2055
G24000307012004,2297
G24000307013001,1697
G24000307013002,2327
G24000307013003,1293
G24000307013004,2730
G24000307014001,821
G24000307014002,2806
G24000307021001,2632
G24000307021002,867
G24000307021003,1551
G24000307021004,1175
G24000307021005,573
G24000307022041,2268
G24000307022042,2021
G24000307022051,1864
G24000307022052,2105
G24000307022053,1617
G24000307022061,3188
G24000307022062,1963
G24000307022063,1920
G24000307022081,4752
G24000307022082,2295
G24000307022091,1309
G24000307022092,1346
G24000307022093,1731
G24000307023001,673
G24000307023002,1863
G24000307023003,1646
G24000307023004,1495
G24000307024021,2054
G24000307024022,3166
G24000307024023,1202
G24000307025001,1116
G24000307025002,1243
G24000307025003,3212
G24000307025004,796
G24000307026011,414
G24000307026012,1730
G24000307026013,805
G24000307026014,935
G24000307026015,1685
G24000307026021,2577
G24000307026022,2516
G24000307026023,1027
G24000307027011,1215
G24000307027012,1370
G24000307027013,2015
G24000307027021,1586
G24000307027022,1987
G24000307061011,1227
G24000307061012,1651
G24000307061013,823
G24000307063011,1436
G24000307063012,1890
G24000307063013,961
G24000307063021,1406
G24000307063022,731
G24000307063023,947
G24000307064011,3097
G24000307064012,2411
G24000307064013,1742
G24000307064021,1312
G24000307064022,2028
G24000307065001,1571
G24000307065002,905
G24000307065003,1778
G24000307065004,1392
G24000307066001,1084
G24000307066002,2264
G24000307066003,285
G24000307066004,945
G24000307066005,668
G24000307067001,6052
G24000307070011,2263
G24000307070012,2255
G24000307070013,1620
G24000307070021,1500
G24000307070022,1046
G24000307070023,2158
G24000307080011,2066
G24000307080012,1491
G24000307080041,1300
G24000307080042,2523
G24000307080043,2061
G24000307301001,2747
G24000307301002,2274
G24000307301003,6563
G24000307302031,2187
G24000307302032,603
G24000307302033,1017
G24000307302034,1809
G24000307302041,2215
G24000307302042,2693
G24000307302043,1201
G24000307303001,2391
G24000307303002,1119
G24000307304011,3539
G24000307304012,1778
G24000307304021,1926
G24000307304022,2425
G24000307304023,1732
G24000307305021,1907
G24000307305022,2153
G24000307305023,2148
G24000307305041,2966
G24000307305042,2699
G24000307305043,2241
G24000307305051,3938
G24000307305052,1049
G24000307305061,730
G24000307305062,898
G24000307305063,1866
G24000307306011,2259
G24000307306012,1375
G24000307306013,1352
G24000307306014,1947
G24000307306031,1197
G24000307306032,1931
G24000307306041,2355
G24000307306042,2560
G24000307306043,2392
G24000307307001,1591
G24000307307002,2201
G24000307307003,537
G24000307307004,2388
G24000307307005,622
G24000307308001,2422
G24000307309011,823
G24000307309012,915
G24000307309013,928
G24000307309021,2803
G24000307309022,1061
G24000307310021,2491
G24000307310022,958
G24000307310031,1011
G24000307310032,1731
G24000307310033,1555
G24000307310041,945
G24000307310042,3458
G24000307311021,401
G24000307311022,3481
G24000307311023,2104
G24000307311024,1749
G24000307311031,2499
G24000307311032,2105
G24000307311033,1192
G24000307311041,2828
G24000307311042,1540
G24000307311051,1673
G24000307311052,1862
G24000307312011,2464
G24000307312012,1452
G24000307312013,862
G24000307312014,1864
G24000307312021,1470
G24000307312022,1756
G24000307312023,1913
G24000307312024,1706
G24000307312025,1466
G24000307312031,985
G24000307312032,2068
G24000307312033,2208
G24000307312034,808
