GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504001001,0.16218154,0.758465257,0.625835915,0.368924821,-3255.709768,0.0
G24000504001003,0.170160058,0.526550849,0.678855219,0.233191791,13754.37524,0.0
G24000504002001,0.152809553,0.578789087,0.56501689,0.207177555,45761.04573,0.0
G24000504002002,0.15492765,0.592904826,0.592754851,0.230145358,46258.66246,0.0
G24000504004001,0.266486961,0.567131809,0.675238225,0.351317739,34838.65868,0.010165905
G24000504004002,0.33747675,0.689533779,0.640976468,0.438364253,32824.62072,0.0
G24000504004003,0.293404404,0.530460705,0.649412529,0.301078756,85306.02017,0.0
G24000504004004,0.208118116,0.588459917,0.784886953,0.264870921,108201.7965,0.0
G24000504004005,0.429159551,0.850909697,0.578793381,0.571410267,15700.90507,0.0
G24000504005001,0.405310661,0.713677566,0.647893946,0.478993406,77796.27435,0.002041356
G24000504006001,0.140251246,0.561372669,0.547958678,0.219304962,19157.79021,0.0
G24000504006002,0.155081897,0.527063083,0.580045708,0.209551461,42638.10961,0.065888845
G24000504006003,0.190829294,0.539133278,0.676697615,0.291500751,52367.37456,0.0
G24000504007011,0.153292763,0.607087079,0.551833752,0.342563791,56105.23632,0.0
G24000504007012,0.158763293,0.759699069,0.64701452,0.350649914,-10776.69122,0.0
G24000504007021,0.185367724,0.562800264,0.606311494,0.292219939,15854.82731,0.0
G24000504008001,0.126303704,0.608157764,0.747059906,0.20779159,6261.556516,0.0
G24000504008002,0.247328478,0.581240713,0.623034589,0.276653855,57875.9901,0.0
G24000504009001,0.205633593,0.605945884,0.757564417,0.300758001,22417.05498,0.002838489
G24000504010001,0.286243612,0.480634323,0.560337062,0.295203496,23321.1517,0.0
G24000504010002,0.365637938,0.553166749,0.549748106,0.391366443,69925.30203,0.002159175
G24000504011011,0.165159775,0.71652853,0.701092093,0.151636185,-4810.634881,0.0
G24000504011012,0.144739159,0.638700215,0.751713243,0.093296265,1974.644668,0.0
G24000504011013,0.113085963,0.668877491,0.896996787,0.204403123,-24235.70949,0.0
G24000504011014,0.172019176,0.747273907,0.593369301,0.187233878,635.473365,0.0
G24000504011021,0.134157359,0.633620746,0.84996881,0.07087806,-24195.36122,0.156420564
G24000504012001,0.165757242,0.554374604,0.792965642,0.264317838,-38020.62999,0.0
G24000504012002,0.195790503,0.60301188,0.696412791,0.273839003,-32858.76011,0.007831144
G24000504013011,0.103354205,0.638484049,0.552656867,0.077330335,16348.40977,0.017763438
G24000504013012,0.11919546,0.640328557,0.552633697,0.126415639,7889.415923,0.0
G24000504013013,0.125368048,0.635752073,0.786000205,0.210528204,-14011.98062,0.0
G24000504013021,0.107254004,0.602533559,0.591900963,0.120666321,11118.31607,0.004422201
G24000504013022,0.119442551,0.619725286,0.552159943,0.140884976,10685.4202,0.0
G24000504014001,0.325131262,0.647683781,0.664353953,0.360206416,74566.70565,0.081481261
G24000504015031,0.265339148,0.785364711,0.658154137,0.460845725,61790.21871,0.0
G24000504015032,0.251301713,0.664309072,0.748128214,0.292031775,50907.6083,0.0
G24000504015033,0.207380165,0.643256162,0.623077228,0.349666922,40853.48085,0.139805422
