         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.808   14.808 /Users/d3y010/repos/github/icom_abm/profile_chance_c.py:17(run_basic_simulation)
 2356/146    0.009    0.000    8.642    0.059 <frozen importlib._bootstrap>:1165(_find_and_load)
  2223/49    0.007    0.000    8.641    0.176 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  2138/48    0.006    0.000    8.638    0.180 <frozen importlib._bootstrap>:666(_load_unlocked)
  5177/60    0.002    0.000    8.626    0.144 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
6414/5519    0.003    0.000    8.380    0.002 {built-in method builtins.__import__}
  1894/46    0.003    0.000    8.343    0.181 <frozen importlib._bootstrap_external>:934(exec_module)
  2301/47    0.032    0.000    8.316    0.177 {built-in method builtins.exec}
        1    0.000    0.000    8.004    8.004 /Users/d3y010/repos/github/icom_abm/chance_c/__init__.py:1(<module>)
        1    0.000    0.000    7.999    7.999 /Users/d3y010/repos/github/icom_abm/chance_c/model.py:1(<module>)
        1    0.001    0.001    6.800    6.800 /Users/d3y010/repos/github/icom_abm/chance_c/model.py:210(run_simulation)
        1    0.030    0.030    5.310    5.310 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pynsim/simulators/simulator.py:107(start)
     1894    0.012    0.000    4.718    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
18549/17138    0.011    0.000    4.629    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     1895    0.006    0.000    4.453    0.002 <frozen importlib._bootstrap_external>:1127(get_data)
     1895    4.400    0.002    4.400    0.002 {built-in method io.open_code}
        1    0.000    0.000    2.619    2.619 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/__init__.py:1(<module>)
        1    0.000    0.000    2.292    2.292 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/__init__.py:1(<module>)
        1    0.000    0.000    2.272    2.272 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/agent_creation.py:1(<module>)
        1    0.000    0.000    2.271    2.271 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/__init__.py:1(<module>)
2138/2122    0.003    0.000    2.270    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
  233/227    0.001    0.000    2.230    0.010 <frozen importlib._bootstrap_external>:1231(create_module)
  233/227    2.203    0.009    2.229    0.010 {built-in method _imp.create_dynamic}
        1    0.000    0.000    2.186    2.186 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/_config.py:1(<module>)
        1    0.000    0.000    2.186    2.186 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/_config.py:94(_default_use_pygeos)
        1    0.000    0.000    2.182    2.182 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/_compat.py:1(<module>)
        2    0.184    0.092    1.934    0.967 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/existing_agent_relocation.py:114(run)
        1    0.000    0.000    1.901    1.901 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_stats_py.py:1(<module>)
        2    0.027    0.013    1.674    0.837 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/housing_market.py:49(run)
        1    0.000    0.000    1.483    1.483 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/__init__.py:1(<module>)
        1    0.017    0.017    1.367    1.367 /Users/d3y010/repos/github/icom_abm/chance_c/model_classes/simulator.py:84(set_landscape)
     5299    0.004    0.000    1.306    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/_utils/deprecation.py:84(wrapper)
     5299    0.010    0.000    1.302    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/lazyframe/opt_flags.py:314(wrapper)
     5299    0.013    0.000    1.286    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/lazyframe/frame.py:2101(collect)
     5299    1.258    0.000    1.258    0.000 {method 'collect' of 'builtins.PyLazyFrame' objects}
        3    0.000    0.000    1.232    0.411 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
     19/3    0.000    0.000    1.214    0.405 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:858(compile)
     2750    0.009    0.000    1.175    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/dataframe/frame.py:5010(filter)
     5066    0.003    0.000    1.064    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
  603/337    0.001    0.000    1.044    0.003 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
      8/3    0.000    0.000    1.036    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:79(compile)
      8/3    0.000    0.000    1.036    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      8/3    0.000    0.000    1.036    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:101(_compile_core)
      8/3    0.000    0.000    1.036    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:713(compile_extra)
      9/3    0.000    0.000    1.035    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:433(compile_extra)
      9/3    0.000    0.000    1.033    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:500(_compile_bytecode)
     10/3    0.000    0.000    1.033    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:456(_compile_core)
     10/3    0.000    0.000    1.032    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
   255/85    0.003    0.000    1.031    0.012 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:267(_runPass)
     4429    0.006    0.000    1.026    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:6121(_cmp_method)
  765/255    0.000    0.000    1.026    0.004 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:271(check)
        1    0.000    0.000    1.022    1.022 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/contextily/__init__.py:1(<module>)
