STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,005,402506,2019,240054025062019,Block 2019,G5040,U,04843,U,S,22563,0,+39.3709863,-076.7987727,G24000504025062019,22563.2902094,683.978325076
24,005,402602,2008,240054026022008,Block 2008,G5040,U,04843,U,S,66002,0,+39.3652584,-076.7850792,G24000504026022008,66002.165112,1051.24733024
24,005,402604,2028,240054026042028,Block 2028,G5040,U,04843,U,S,34270,0,+39.3731685,-076.7853460,G24000504026042028,34270.3378184,812.047552372
24,005,402603,3000,240054026033000,Block 3000,G5040,U,04843,U,S,250543,0,+39.3902003,-076.7699907,G24000504026033000,250543.357287,2844.66121822
24,005,402604,2008,240054026042008,Block 2008,G5040,U,04843,U,S,40539,0,+39.3734233,-076.7743820,G24000504026042008,40539.2018528,1002.00388319
24,005,402604,1005,240054026041005,Block 1005,G5040,U,04843,U,S,31384,0,+39.3740960,-076.7530051,G24000504026041005,31383.9589026,769.042606975
24,005,402604,1010,240054026041010,Block 1010,G5040,U,04843,U,S,102497,0,+39.3694230,-076.7522795,G24000504026041010,102496.928869,1355.03377394
24,005,402302,2027,240054023022027,Block 2027,G5040,U,04843,U,S,25922,0,+39.3571369,-076.7877654,G24000504023022027,25921.707079,799.046658246
24,005,402604,3008,240054026043008,Block 3008,G5040,U,04843,U,S,23206,0,+39.3674288,-076.7924483,G24000504026043008,23206.2668485,646.770631515
24,005,402302,2021,240054023022021,Block 2021,G5040,U,04843,U,S,45299,0,+39.3564602,-076.7886409,G24000504023022021,45299.1049468,1092.59403413
24,005,402602,1001,240054026021001,Block 1001,G5040,U,04843,U,S,29609,0,+39.3677583,-076.7707279,G24000504026021001,29609.3516431,799.601394472
24,005,402307,3014,240054023073014,Block 3014,G5040,U,04843,U,S,1346,0,+39.3594240,-076.7560660,G24000504023073014,1345.87643684,164.134705958
24,005,402302,1009,240054023021009,Block 1009,G5040,U,04843,U,S,28128,0,+39.3565048,-076.7704888,G24000504023021009,28128.4114357,727.014017916
24,005,402307,2008,240054023072008,Block 2008,G5040,U,04843,U,S,101640,0,+39.3559669,-076.7587384,G24000504023072008,101640.094291,1426.91483322
24,005,402303,4003,240054023034003,Block 4003,G5040,U,04843,U,S,1595,0,+39.3549197,-076.7616024,G24000504023034003,1595.09029379,339.868077927
24,005,402303,2002,240054023032002,Block 2002,G5040,U,04843,U,S,23167,0,+39.3420833,-076.7551206,G24000504023032002,23166.7579489,634.218904726
