GISJOIN,pop2020
G24000100001001000,0
G24000100001001001,31
G24000100001001003,0
G24000100001001045,0
G24000100001001002,0
G24000100001001009,4
G24000100001001165,4
G24000100001001010,0
G24000100001001011,0
G24000100001001012,34
G24000100001001013,2
G24000100001001014,73.9130434783
G24000100001001015,25
G24000100001001016,1.0869565217
G24000100001001017,0
G24000100001001018,0
G24000100001001019,10
G24000100001001028,0
G24000100001001160,0
G24000100001001161,0
G24000100001001162,0
G24000100001001163,0
G24000100001001164,0
G24000100001001020,0
G24000100001001021,3.571428571425
G24000100001001166,21.428571428575
G24000100001001008,0
G24000100001001024,14
G24000100001001034,0
G24000100001001035,0
G24000100001001036,0
G24000100001001023,3
G24000100001001007,0
G24000100001001025,43.511933896697
G24000100001001026,0
G24000100001001027,4.488066103303
G24000100001001046,0
G24000100001001047,0
G24000100001001048,0
G24000100001001049,0
G24000100001001050,0
G24000100001001051,0
G24000100001001004,0
G24000100001001005,0
G24000100001001006,0
G24000100001001039,0
G24000100001001044,0
G24000100001001052,0
G24000100001001053,0
G24000100001001060,2
G24000100001001040,0
G24000100001001041,0
G24000100001001042,0
G24000100001001043,0
G24000100001001056,0
G24000100001001067,16.803681437088
G24000100001001070,1.120245429132
G24000100001001072,0
G24000100001001078,11.07607313378
G24000100001001054,18
G24000100001001055,0
G24000100001001057,3.11111111112
G24000100001001059,16.88888888888
G24000100001001061,0
G24000100001001064,0
G24000100001001058,10
G24000100001001065,20
G24000100001001066,0
G24000100001001076,8.799999999996
G24000100001001085,3.200000000004
G24000100001001079,11
G24000100001001068,11
G24000100001001069,0
G24000100001001071,0
G24000100001001073,20
G24000100001001074,0
G24000100001001075,0
G24000100001001029,0
G24000100001001030,0
G24000100001001031,0
G24000100001001033,0
G24000100001001037,0
G24000100001001038,0
G24000100001001081,2.139314407464
G24000100001001082,4.239399316427
G24000100001001091,44.767157295082
G24000100001001093,6
G24000100001001083,32.066666666679
G24000100001001092,4.933333333321
G24000100001001032,0
G24000100001001084,15
G24000100001001097,0
G24000100001001098,0
G24000100001001089,5
G24000100001001088,19
G24000100001001077,0
G24000100001001086,8.642857142854
G24000100001001087,2.357142857146
G24000100001001062,0
G24000100001001063,3.102040816318
G24000100001001090,0
G24000100001001101,12.795918367345
G24000100001001103,0
G24000100001001104,0
G24000100001001105,3.102040816318
G24000100001001099,31.845567582004
G24000100001001100,0
G24000100001001102,0
G24000100001001106,7.182164610632
G24000100001001107,0
G24000100001001108,4.972267807364
G24000100001001109,0
G24000100001001139,0
G24000100001001096,4.045652855488
G24000100001001080,3
G24000100001001094,2.854128981074
G24000100001001168,0
G24000100001001110,0
G24000100001001111,1.166743486881
G24000100001001112,3.500230460643
G24000100001001134,3.53567450404
G24000100001001136,0
G24000100001001159,0
G24000100001001167,0
G24000100001001095,0.063295970868
G24000100001001114,0
G24000100001001119,0
G24000100001001121,6.569155664409
G24000100001001122,0
G24000100001001127,5.457879035531
G24000100001001128,0
G24000100001001129,0
G24000100001001131,0
G24000100001001137,0
G24000100001001138,0
G24000100001001140,0
G24000100001001141,0
G24000100001001142,0
G24000100001001143,0
G24000100001001144,0
G24000100001001145,0
G24000100001001146,0
G24000100001001147,0
G24000100001001148,0.56966373783
G24000100001001149,0
G24000100001001150,0.063295970868
G24000100001001151,0
G24000100001001152,0.063295970868
G24000100001001153,0
G24000100001001154,0.37977582522
G24000100001001155,0
G24000100001001156,0
G24000100001001157,0
G24000100001001158,0
G24000100001001169,0
G24000100001001113,9.784181592129
G24000100001001125,7.801154925219
G24000100001001123,0
G24000100001001133,7
G24000100001001135,0
G24000100001001132,8
G24000100001001124,0
G24000100001001126,0
G24000100001001115,3
G24000100001001118,3
G24000100001001117,7
G24000100001001116,1
G24000100001001120,0
G24000100001001130,3
G24000100001001022,17
G24000100001002000,43.379310344844
G24000100001002001,0
G24000100001002002,0
G24000100001002003,0.586206896574
G24000100001002004,0
G24000100001002005,0
G24000100001002006,0
G24000100001002009,0
G24000100001002010,14.65517241384
G24000100001002011,0
G24000100001002013,0
G24000100001002020,15.827586206886
G24000100001002022,0.586206896574
G24000100001002190,11.724137931072
G24000100001002192,0
G24000100001002193,2.344827586194
G24000100001002194,0
G24000100001002195,5.862068965536
G24000100001002196,0.586206896574
G24000100001002197,2.344827586194
G24000100001002198,0
G24000100001002307,3.517241379342
G24000100001002308,0
G24000100001002309,0
G24000100001002310,0.586206896574
G24000100001002311,0
G24000100001002185,0
G24000100001002186,0
G24000100001002187,0
G24000100001002191,0
G24000100001002341,0
G24000100001002012,12.77777777778
G24000100001002014,0
G24000100001002015,0
G24000100001002016,1.666666666665
G24000100001002019,0
G24000100001002021,0
G24000100001002023,0.555555555555
G24000100001002188,0
G24000100001002189,0
G24000100001002387,0
G24000100001002388,0
G24000100001002389,0
G24000100001002390,0
G24000100001002391,0
G24000100001002392,0
G24000100001002026,0
G24000100001002027,0
G24000100001002028,0
G24000100001002029,0
G24000100001002030,0
G24000100001002031,0
G24000100001002032,0
G24000100001002033,0
G24000100001002034,14
G24000100001002038,0
G24000100001002039,0
G24000100001002046,0
G24000100001002035,1.846153846152
G24000100001002036,4.92307692308
G24000100001002052,1.230769230768
G24000100001002037,2.282485875656
G24000100001002063,0
G24000100001002066,29.672316384134
G24000100001002067,2.282485875656
G24000100001002072,0
G24000100001002073,10.841807909568
G24000100001002074,2.853107344671
G24000100001002075,19.40112994348
G24000100001002076,0
G24000100001002079,30.813559322063
G24000100001002081,2.853107344671
G24000100001002068,71
G24000100001002069,0
G24000100001002071,0
G24000100001002088,0
G24000100001002089,0
G24000100001002090,0
G24000100001002091,0
G24000100001002092,0
G24000100001002134,0
G24000100001002135,0
G24000100001002070,0
G24000100001002061,48.205479452052
G24000100001002062,0
G24000100001002065,0
G24000100001002077,0
G24000100001002078,0.698630136987
G24000100001002082,0
G24000100001002084,0
G24000100001002085,0
G24000100001002381,2.095890410961
G24000100001002379,16.076923076926
G24000100001002380,2.923076923074
G24000100001002050,73.927272727252
G24000100001002051,2.072727272748
G24000100001002080,0
G24000100001002083,0
G24000100001002045,6
G24000100001002024,2.499999999992
G24000100001002025,0
G24000100001002040,1.00000000001
G24000100001002041,0
G24000100001002042,0
G24000100001002043,0
G24000100001002044,3.000000000008
G24000100001002047,0
G24000100001002048,7.999999999992
G24000100001002049,0
G24000100001002165,0
G24000100001002166,0
G24000100001002167,1.00000000001
G24000100001002168,0
G24000100001002169,2.499999999992
G24000100001002170,0
G24000100001002171,0
G24000100001002172,3.500000000002
G24000100001002173,0.499999999994
G24000100001002174,0
G24000100001002175,0
G24000100001002176,0
G24000100001002383,0
G24000100001002386,0
G24000100001002055,0
G24000100001002374,0
G24000100001002017,0
G24000100001002018,0
G24000100001002164,0
G24000100001002373,0
G24000100001002161,0
G24000100001002162,0
G24000100001002163,0
G24000100001002183,0
G24000100001002184,10
G24000100001002200,0
G24000100001002382,0
G24000100001002054,0
G24000100001002056,0
G24000100001002057,11
G24000100001002053,0
G24000100001002060,0
G24000100001002064,0
G24000100001002086,0
G24000100001002087,0
G24000100001002129,0
G24000100001002059,0
G24000100001002130,5.564102564097
G24000100001002131,6.358974358968
G24000100001002132,0
G24000100001002141,19.076923076935
G24000100001002142,0
G24000100001002143,0
G24000100001002109,0.312317450952
G24000100001002123,5.033869302258
G24000100001002124,0.004661454492
G24000100001002125,0.010060480896
G24000100001002127,0.024959433546
G24000100001002128,0.614131877856
G24000100001002121,7.5
G24000100001002122,2.5
G24000100001002097,125.827252420568
G24000100001002099,0
G24000100001002102,0
G24000100001002105,0
G24000100001002108,0
G24000100001002111,8.064721262836
G24000100001002116,0
G24000100001002117,0
G24000100001002119,0
G24000100001002378,16.129442525672
G24000100001002384,0
G24000100001002385,0
G24000100001002393,0
G24000100001002145,57.888570776236
G24000100001002147,3.54413688194
G24000100001002150,0
G24000100001002136,87.964798098295
G24000100001002137,0
G24000100001002138,2.714920981861
G24000100001002139,12.895874663966
G24000100001002140,1.357460490981
G24000100001002107,1.270932950668
G24000100001002112,0
G24000100001002113,33.483616516314
G24000100001002114,5.083731802613
G24000100001002120,0.635466475334
G24000100001002096,0.506651689467
G24000100001002098,0
G24000100001002101,0
G24000100001002103,0
G24000100001002110,2.026606757791
G24000100001002115,0
G24000100001002118,0
G24000100001002126,0
G24000100001002133,0
G24000100001002230,0
G24000100001002104,4.03852336377
G24000100001002106,0
G24000100001002221,0
G24000100001002100,0
G24000100001002222,15
G24000100001002231,1
G24000100001002215,17
G24000100001002220,4
G24000100001002216,0
G24000100001002218,8
G24000100001002219,8
G24000100001002144,7
G24000100001002217,0
G24000100001002371,0
G24000100001002245,3
G24000100001002250,0
G24000100001002248,5
G24000100001002259,0
G24000100001002247,12.857142857148
G24000100001002257,5.142857142852
G24000100001002178,0
G24000100001002206,7.478135898068
G24000100001002207,0
G24000100001002208,0
G24000100001002210,0
G24000100001002211,0
G24000100001002212,0
G24000100001002213,0.87978069388
G24000100001002246,0
G24000100001002285,0.864237485216
G24000100001002286,1.31967104082
G24000100001002287,12.756820061392
G24000100001002289,0
G24000100001002291,0
G24000100001002293,15.396162143076
G24000100001002294,0
G24000100001002295,0
G24000100001002296,0
G24000100001002334,6.945185711712
G24000100001002335,1.75956138776
G24000100001002336,0
G24000100001002337,0.43989034694
G24000100001002338,0
G24000100001002339,0
G24000100001002343,0
G24000100001002344,0
G24000100001002347,0
G24000100001002348,0.43989034694
G24000100001002349,0
G24000100001002350,1.31967104082
G24000100001002351,0
G24000100001002352,0
G24000100001002284,0
G24000100001002359,2.22088933212
G24000100001002288,3
G24000100001002290,0
G24000100001002292,0
G24000100001002342,2
G24000100001002151,16.107382550304
G24000100001002153,0
G24000100001002154,33.503355704736
G24000100001002155,0
G24000100001002157,0
G24000100001002158,5.798657718144
G24000100001002159,0
G24000100001002177,37.369127516736
G24000100001002182,3.22147651008
G24000100001002209,0
G24000100001002179,2
G24000100001002160,1
G24000100001002152,0
G24000100001002156,23
G24000100001002260,15
G24000100001002261,1.999999999998
G24000100001002262,4.000000000002
G24000100001002256,12.307692307696
G24000100001002258,3.692307692304
G24000100001002249,0
G24000100001002251,0
G24000100001002252,24.756097560965
G24000100001002254,1.414634146345
G24000100001002264,2.82926829269
G24000100001002233,64.220533336109
G24000100001002235,2.761040288022
G24000100001002237,0
G24000100001002271,2.070780216051
G24000100001002272,0
G24000100001002238,0
G24000100001002239,7
G24000100001002232,2.5
G24000100001002234,2.5
G24000100001002225,3.33333333333
G24000100001002236,6.66666666667
G24000100001002223,45.366336633676
G24000100001002224,0
G24000100001002226,0
G24000100001002227,0
G24000100001002273,12.633663366324
G24000100001002370,0
G24000100001002228,0
G24000100001002274,0
G24000100001002275,4
G24000100001002276,0
G24000100001002229,0
G24000100001002240,0
G24000100001002241,0
G24000100001002242,4.168587695895
G24000100001002243,2.77905846393
G24000100001002244,0
G24000100001002255,0
G24000100001002266,12.969940698258
G24000100001002269,6.339507937536
G24000100001002270,1.49164892648
G24000100001002253,0
G24000100001002268,0
G24000100001002355,5.198902437726
G24000100001002356,0
G24000100001002357,0
G24000100001002358,0
G24000100001002265,1
G24000100001002267,0
G24000100001002277,2
G24000100001002278,8.642857142854
G24000100001002279,0
G24000100001002280,0
G24000100001002281,0
G24000100001002282,1.964285714281
G24000100001002375,0
G24000100001002376,0.392857142854
G24000100001002263,0
G24000100001002345,0
G24000100001002346,0
G24000100001002283,1.999959463808
G24000100001002362,13.000040536192
G24000100001002360,9
G24000100001002361,0
G24000100001002366,0
G24000100001002367,2
G24000100001002214,5
G24000100001002363,1.75
G24000100001002364,0
G24000100001002365,0
G24000100001002368,12.25
G24000100001002369,0
G24000100001002353,0
G24000100001002354,7
G24000100001002094,0
G24000100001002095,0
G24000100001002093,0
G24000100001002058,0
G24000100001002146,0
G24000100001002148,21.567292341824
G24000100001002149,0
G24000100001002181,0
G24000100001002202,2.357142857146
G24000100001002204,8.642857142854
G24000100001002205,0
G24000100001002180,0
G24000100001002199,4
G24000100001002201,0
G24000100001002203,0
G24000100001002301,0
G24000100001002302,0
G24000100001002303,0
G24000100001002372,0
G24000100001002304,0
G24000100001002305,0
G24000100001002306,0
G24000100001002319,0
G24000100001002312,0
G24000100001002313,11
G24000100001002314,0
G24000100001002320,0
G24000100001002315,26.42857142856
G24000100001002316,13.57142857144
G24000100001002317,0
G24000100001002318,16
G24000100001002322,0
G24000100001002323,0
G24000100001002377,0
G24000100001002321,0
G24000100001002299,0
G24000100001002300,14.569573090774
G24000100001002324,0
G24000100001002325,3.936111720423
G24000100001002326,0
G24000100001002327,0
G24000100001002328,0
G24000100001002329,1.494315188803
G24000100001002331,0
G24000100001002340,0
G24000100001002297,1.180104511212
G24000100001002298,0
G24000100001002332,0
G24000100001002333,0
G24000100001002330,0
G24000100001002007,15.111111111113
G24000100001002008,1.888888888887
G24000100001003000,0
G24000100001003001,0
G24000100001003002,0
G24000100001003003,0
G24000100001003004,0
G24000100001003005,0
G24000100001003006,0
G24000100001003007,0
G24000100001003008,0
G24000100001003009,0
G24000100001003010,2.011057012547
G24000100001003011,0
G24000100001003012,0
G24000100001003013,0
G24000100001003014,0
G24000100001003015,0
G24000100001003021,0.402211402502
G24000100001003022,0
G24000100001003023,0.402211402502
G24000100001003024,0
G24000100001003025,0
G24000100001003026,3.619902622555
G24000100001003027,0
G24000100001003028,0
G24000100001003029,0
G24000100001003030,0
G24000100001003031,12.871667883327
G24000100001003036,0
G24000100001003042,0
G24000100001003167,11.261919270204
G24000100001003168,0
G24000100001003169,0
G24000100001003170,0
G24000100001003171,2.011057012547
G24000100001003175,2.413268415049
G24000100001003176,0
G24000100001003177,0.402211402502
G24000100001003193,0
G24000100001003194,0
G24000100001003195,0
G24000100001003196,0
G24000100001003198,0.402211402502
G24000100001003220,0
G24000100001003221,0.402211402502
G24000100001003222,0.804422805004
G24000100001003223,0
G24000100001003224,0
G24000100001003225,0
G24000100001003166,3
G24000100001003034,8
G24000100001003172,0
G24000100001003032,0
G24000100001003033,0
G24000100001003035,0
G24000100001003037,0
G24000100001003038,5.075158189283
G24000100001003039,0
G24000100001003040,0
G24000100001003041,0
G24000100001003043,0
G24000100001003047,21.315664394928
G24000100001003048,0
G24000100001003049,0
G24000100001003051,31.973496592291
G24000100001003052,0
G24000100001003053,0
G24000100001003054,0.507515818898
G24000100001003055,0
G24000100001003056,0
G24000100001003057,4.060126551386
G24000100001003063,1.522547456795
G24000100001003064,1.522547456795
G24000100001003065,0
G24000100001003118,8.120253102772
G24000100001003119,0
G24000100001003122,0
G24000100001003125,21.823180213826
G24000100001003126,0
G24000100001003130,2.030063275693
G24000100001003131,0
G24000100001003133,0
G24000100001003134,1.015031637897
G24000100001003135,0
G24000100001003136,0
G24000100001003213,0
G24000100001003215,1.015031637897
G24000100001003216,0
G24000100001003217,0.507515818898
G24000100001003226,0
G24000100001003227,0.507515818898
G24000100001003230,0
G24000100001003050,0.666666666666
G24000100001003139,1.333333333334
G24000100001003058,31.815789473676
G24000100001003059,0
G24000100001003061,0
G24000100001003062,0
G24000100001003066,3.078947368419
G24000100001003070,4.105263157905
G24000100001003129,24
G24000100001003144,0
G24000100001003045,0
G24000100001003046,0
G24000100001003127,2
G24000100001003132,0
G24000100001003140,2
G24000100001003121,0
G24000100001003060,2.863495010082
G24000100001003067,52.688308183938
G24000100001003069,0
G24000100001003071,0
G24000100001003072,0
G24000100001003073,0
G24000100001003075,141.786567664196
G24000100001003076,0
G24000100001003077,0
G24000100001003078,0
G24000100001003079,0
G24000100001003081,0
G24000100001003083,0
G24000100001003099,38.943532136068
G24000100001003120,1.718097005954
G24000100001003068,6
G24000100001003104,0.8
G24000100001003105,0
G24000100001003106,1.2
G24000100001003101,12
G24000100001003090,77.538461538468
G24000100001003095,5.653846153872
G24000100001003102,0.80769230766
G24000100001003097,17
G24000100001003100,0
G24000100001003091,11.074074074063
G24000100001003092,2.555555555553
G24000100001003093,0
G24000100001003210,9.370370370361
G24000100001003084,0
G24000100001003080,0
G24000100001003082,13
G24000100001003116,0
G24000100001003124,0
G24000100001003128,0
G24000100001003143,16.26737868871
G24000100001003074,0
G24000100001003117,25
G24000100001003123,0
G24000100001003142,0
G24000100001003145,0
G24000100001003154,6.73262131129
G24000100001003155,0
G24000100001003085,0
G24000100001003086,16
G24000100001003103,0
G24000100001003088,63.151937773947
G24000100001003089,12.284484755588
G24000100001003094,1.563577470465
G24000100001003087,17.204763577284
G24000100001003111,0.795236422716
G24000100001003110,18
G24000100001003096,9
G24000100001003218,0
G24000100001003152,0
G24000100001003156,8.088957632367
G24000100001003148,0
G24000100001003149,0
G24000100001003178,9.485558304441
G24000100001003179,0
G24000100001003180,12.833402411897
G24000100001003181,7.811636250713
G24000100001003183,10.609580272711
G24000100001003185,1.984394366321
G24000100001003186,2.789870089529
G24000100001003187,0.557974017927
G24000100001003189,0
G24000100001003190,2.789870089529
G24000100001003191,2.789870089529
G24000100001003192,0
G24000100001003197,3.347844107456
G24000100001003203,0
G24000100001003204,0
G24000100001003205,0
G24000100001003209,0
G24000100001003219,0
G24000100001003182,0.75
G24000100001003184,2.25
G24000100001003202,0
G24000100001003208,7
G24000100001003150,0
G24000100001003201,5
G24000100001003112,0
G24000100001003113,0
G24000100001003147,0
G24000100001003188,4
G24000100001003016,0
G24000100001003017,3.304347826082
G24000100001003018,0
G24000100001003019,0.413043478265
G24000100001003020,0
G24000100001003173,0
G24000100001003174,1.652173913041
G24000100001003199,13.630434782612
G24000100001003200,0
G24000100001003108,35.558441558443
G24000100001003109,1.441558441557
G24000100001003206,11
G24000100001003207,0
G24000100001003164,14.42307692307
G24000100001003165,0.57692307693
G24000100001003211,0
G24000100001003044,10
G24000100001003161,0
G24000100001003212,0
G24000100001003158,0
G24000100001003159,10
G24000100001003160,2
G24000100001003214,0
G24000100001003157,0.911042367633
G24000100001003228,0
G24000100001003229,0
G24000100001003138,1
G24000100001003137,3
G24000100001003141,3
G24000100001003107,3
G24000100001003162,0
G24000100001003163,0
G24000100001003114,0
G24000100001003115,0
G24000100001003146,0
G24000100001003151,0
G24000100001003153,0
G24000100001003098,0
G24000100002001000,0.67920816656
G24000100002001001,0
G24000100002001027,134.198402675424
G24000100002001031,2.03762449968
G24000100002001006,60
G24000100002001002,0
G24000100002001003,87.674837752213
G24000100002001004,0
G24000100002001005,0.484297575762
G24000100002001007,0
G24000100002001008,103.697935073122
G24000100002001012,22.074161435164
G24000100002001022,0
G24000100002001025,4.477393907316
G24000100002001029,0
G24000100002001030,0
G24000100002001032,0
G24000100002001033,1.237381982592
G24000100002001034,1.856072973888
G24000100002001028,34
G24000100002001044,1.991309701856
G24000100002001042,35
G24000100002001043,8
G24000100002001035,55
G24000100002001036,0
G24000100002001037,0
G24000100002001038,0
G24000100002001039,5.090909090904
G24000100002001075,16.72727272728
G24000100002001076,2.181818181816
G24000100002001040,1.866666666676
G24000100002001041,23.644444444432
G24000100002001082,2.488888888892
G24000100002001015,0
G24000100002001054,21.199629178392
G24000100002001055,13.781090548041
G24000100002001056,0
G24000100002001058,67.632242470955
G24000100002001062,0
G24000100002001065,0
G24000100002001081,0
G24000100002001061,0
G24000100002001069,47.423391252819
G24000100002001066,0
G24000100002001048,13.894736842096
G24000100002001049,0
G24000100002001051,5.210526315786
G24000100002001052,2.894736842096
G24000100002001016,13
G24000100002001072,0
G24000100002001077,0
G24000100002001078,1
G24000100002001079,0
G24000100002001080,0
G24000100002001057,2.642431033187
G24000100002001059,0
G24000100002001060,0
G24000100002001067,0.660607758324
G24000100002001074,0.660607758324
G24000100002001083,0
G24000100002001064,0
G24000100002001068,4
G24000100002001063,2.736842105257
G24000100002001070,0
G24000100002001071,2.052631578946
G24000100002001073,8.210526315784
G24000100002001017,0
G24000100002001046,6.25
G24000100002001047,3.75
G24000100002001045,7
G24000100002001050,0
G24000100002001009,0
G24000100002001011,1.110333823768
G24000100002001010,0
G24000100002001026,27
G24000100002001024,0
G24000100002001023,4.481040432564
G24000100002001013,0
G24000100002001014,0
G24000100002001053,0
G24000100002001020,0
G24000100002001021,0
G24000100002001018,0
G24000100002001019,0
G24000100002002000,0.073799225346
G24000100002002001,0.00353035567
G24000100002002002,0.009374146896
G24000100002002003,0.95860994959
G24000100002002004,0.006035883368
G24000100002002005,0.002732453892
G24000100002002006,0.01282473763
G24000100002002007,0.006127512074
G24000100002002008,0.001854282336
G24000100002002009,0.004267424064
G24000100002002010,0.00667299317
G24000100002002011,0.00273926925
G24000100002002012,0
G24000100002002013,0.004083409386
G24000100002002014,0.001336315094
G24000100002002015,0.009000059446
G24000100002002016,0.003207257196
G24000100002002017,0.005559060698
G24000100002002018,0.007772537664
G24000100002002023,0.001450156822
G24000100002002029,0.21187914451
G24000100002002030,0
G24000100002002031,0.050276141916
G24000100002002032,0.000394281106
G24000100002002033,0.16749424891
G24000100002002034,0
G24000100002002035,0.438182111678
G24000100002002051,0.00492775657
G24000100002002116,0.002918487934
G24000100002002117,0.002950797782
G24000100002002019,30.1587301587
G24000100002002024,0
G24000100002002025,0
G24000100002002027,2.1164021164
G24000100002002036,2.1164021164
G24000100002002037,0
G24000100002002038,0
G24000100002002039,16.4021164021
G24000100002002040,19.0476190476
G24000100002002048,6.8783068783
G24000100002002093,23.2804232804
G24000100002002094,0
G24000100002002109,0
G24000100002002110,0
G24000100002002112,2
G24000100002002026,11.869565217393
G24000100002002028,1.130434782607
G24000100002002041,23
G24000100002002042,0
G24000100002002045,0
G24000100002002020,13
G24000100002002119,0
G24000100002002021,8.555555555558
G24000100002002022,2.444444444442
G24000100002002047,0
G24000100002002049,0
G24000100002002095,85.68141592924
G24000100002002097,0
G24000100002002101,8.203539822997
G24000100002002104,6.380530973465
G24000100002002105,0
G24000100002002107,2.734513274298
G24000100002002096,14
G24000100002002098,6
G24000100002002100,21
G24000100002002099,6
G24000100002002102,63
G24000100002002103,0
G24000100002002106,0
G24000100002002111,0
G24000100002002044,52.98780487803
G24000100002002046,2.01219512197
G24000100002002054,20
G24000100002002053,32.793522267276
G24000100002002055,129.206477732724
G24000100002002058,0
G24000100002002059,14
G24000100002002056,0
G24000100002002069,0
G24000100002002072,0
G24000100002002073,0
G24000100002002070,0
G24000100002002071,0
G24000100002002074,28.92857142855
G24000100002002075,46.07142857145
G24000100002002076,0
G24000100002002050,0
G24000100002002066,0
G24000100002002067,0
G24000100002002115,0
G24000100002002065,80
G24000100002002113,4
G24000100002002063,0
G24000100002002064,0
G24000100002002114,0
G24000100002002052,0
G24000100002002060,0
G24000100002002077,0
G24000100002002078,126.494978460059
G24000100002002079,1.505891899648
G24000100002002081,0
G24000100002002082,0
G24000100002002083,0
G24000100002002087,0
G24000100002002089,0
G24000100002002086,12
G24000100002002080,9
G24000100002002088,5.383945877149
G24000100002002120,1.615183763144
G24000100002002084,6
G24000100002002085,0
G24000100002002090,8
G24000100002002091,0
G24000100002002062,0
G24000100002002092,0
G24000100002002061,16
G24000100002002068,0
G24000100002002108,0
G24000100002002118,11
G24000100002002043,0
G24000100002003000,82.0468628212
G24000100002003001,17.3119537081
G24000100002003003,0.6411834707
G24000100002003002,0
G24000100002003076,0
G24000100002003004,5
G24000100002003005,0
G24000100002003007,0
G24000100002003008,0
G24000100002003006,18.73360065822
G24000100002003010,0
G24000100002003039,3.516379134175
G24000100002003040,10
G24000100002003030,0
G24000100002003011,0
G24000100002003025,0
G24000100002003026,14.26639934178
G24000100002003028,0
G24000100002003029,0
G24000100002003031,78
G24000100002003032,218.614364353836
G24000100002003034,0
G24000100002003037,14.033923883114
G24000100002003038,3.83533262865
G24000100002003033,18.878048780472
G24000100002003036,17.121951219528
G24000100002003035,54
G24000100002003041,0
G24000100002003042,42
G24000100002003043,5
G24000100002003044,33
G24000100002003074,14
G24000100002003075,0
G24000100002003046,8.001944438025
G24000100002003062,0
G24000100002003063,0
G24000100002003064,0
G24000100002003065,0
G24000100002003066,0
G24000100002003067,0
G24000100002003019,0
G24000100002003021,0
G24000100002003051,1253
G24000100002003055,0
G24000100002003056,0
G24000100002003058,0
G24000100002003072,0
G24000100002003052,0
G24000100002003053,0
G24000100002003054,0
G24000100002003057,0
G24000100002003050,0
G24000100002003027,11.243243243232
G24000100002003047,20.756756756768
G24000100002003018,30
G24000100002003014,47.790998767017
G24000100002003022,3.445745992623
G24000100002003023,191.76325524036
G24000100002003024,14
G24000100002003015,17
G24000100002003020,0
G24000100002003073,0
G24000100002003016,0
G24000100002003017,0
G24000100002003059,0
G24000100002003012,0
G24000100002003013,0
G24000100002003071,0
G24000100002003068,0
G24000100002003069,0
G24000100002003060,2.998833337185
G24000100002003061,1.99922222479
G24000100002003070,0
G24000100002003048,0
G24000100002003049,0
G24000100002003045,0
G24000100005001000,0
G24000100005001001,28
G24000100005001009,0
G24000100005001002,0
G24000100005001003,6
G24000100005001010,1.066666666672
