GISJOIN,pop1990,hhsize1990,mhi1990,coastdist,cbddist,hhtrans1993,salesprice1993,salespricesf1993
G24000504001001000,724,2.52242666744216,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001001,68,2.52340159624351,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001002,83,2.46426594838126,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001003,97,2.5220941374673,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001004,26,2.52351455694521,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001006,26,2.52353059646616,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001007,34,4.85714285714286,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001012,378,2.52355072463768,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001013,34,2.52355072463768,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001014,49,2.52355072463768,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001001015,51,2.42857142857143,34336,7538.380331,8675.488834,12,109750,80.55555556
G24000504001002000,688,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002004,1,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002008,2,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002009,1,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002011,6,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002012,26,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002013,1,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002014,1,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002016,5,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002017,1,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001002018,3,1.72060857538036,34336,6704.894039,7827.227724,,,
G24000504001003000,110,1.72060857538036,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003001,31,1.82352941176471,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003002,1,1.72060857538036,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003003,69,1.72060857538036,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003005,29,2.41666666666667,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003006,40,2.5,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003007,318,1.72060857538036,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003008,8,1.72060857538036,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003009,29,2.41666666666667,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003010,40,2.35294117647059,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003011,44,2.31578947368421,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003012,9,1.5,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003014,17,2.83333333333333,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003015,33,2.75,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504001003016,53,2.94444444444444,34336,6658.489487,7674.575045,2,101450,67.89279844
G24000504002001004,83,1.80434782608696,26643,7615.388678,8408.603725,3,77900,70.68965517
G24000504002001005,48,2.6260162601626,26643,7615.388678,8408.603725,3,77900,70.68965517
