GISJOIN,pop1990,hhsize1990,mhi1990,coastdist,cbddist,hhtrans1994,salesprice1994,salespricesf1994
G24000307011011004,606,3.179796987,70359,165.8066962,38272.64289,11,230000,103.6912752
G24000307011011005,39,3,70359,177.1423816,37884.94462,1,155000,139.8916968
G24000307011011006,59,2.95,70359,200.8029058,37944.9031,,,
G24000307011011008,23,3.240223464,70359,286.5572506,37979.02663,1,104000,73.18789585
G24000307011011009,28,3.111111111,70359,97.68474486,37794.89999,,,
G24000307011011010,8,2.666666667,70359,160.8422892,38089.58353,,,
G24000307011011011,30,2.727272727,70359,226.0234868,37983.43833,,,
G24000307011011012,29,2.9,70359,97.67796753,38069.49477,,,
G24000307011011015,53,3.348484848,70359,685.7187242,38071.27572,1,187500,66.30127298
G24000307011011019,168,3.348484848,70359,590.6303654,38259.37051,4,217000,99.77804515
G24000307011012004,206,2.600075485,60302,394.87417,38576.76657,2,354750,186.4288124
G24000307011012005,42,2.625,60302,118.6352718,38181.77393,3,92000,91.91176471
G24000307011012007,22,2.2,60302,194.0562034,38262.26881,,,
G24000307011012008,11,3.666666667,60302,232.2267543,38338.23569,,,
G24000307011012009,32,2.666666667,60302,275.2977767,38547.72457,,,
G24000307011012010,25,2.083333333,60302,57.41278327,38185.83235,,,
G24000307011012011,34,2.428571429,60302,128.9910323,38321.41473,,,
G24000307011012012,64,2.37037037,60302,203.2587379,38415.98694,,,
G24000307011012013,42,2.625,60302,126.6201921,38501.2264,,,
G24000307011012015,113,2.704012988,60302,387.196289,39091.36164,2,153149.5,133.2587744
G24000307011012016,1,1,60302,144.44812,39198.92179,,,
G24000307011012017,27,2.454545455,60302,385.9133576,39352.86736,,,
G24000307011012018,18,2.36257992,60302,223.2007751,39234.97383,1,182000,90.6374502
G24000307011012019,5,2.5,60302,285.6474194,39150.82863,,,
G24000307011012020,38,3.067151194,60302,54.68030818,38492.11588,,,
G24000307011013002,70,2.999444956,60302,215.5181485,39406.52348,1,168000,67.09265176
G24000307011013003,33,2.830654982,60302,306.4639076,39366.14042,1,115000,133.1018519
G24000307011013004,70,3.684210526,60302,536.2962273,39521.78049,1,125800,109.3913043
G24000307011013005,41,2.411764706,60302,561.2879016,39596.28813,1,164000,134.9794239
G24000307011013006,64,3.047619048,60302,533.3482164,39708.8608,2,158450,129.4976717
G24000307011013007,10,2.5,60302,761.0217442,39818.50478,,,
G24000307011013009,210,2.890152875,60302,462.9710708,40163.90615,1,236000,119.4331984
G24000307011013010,39,2.785714286,60302,637.2598106,40178.84529,1,147500,82.31026786
G24000307011013011,3,2.999593996,60302,573.468616,40213.96663,,,
G24000307011013012,43,2.529411765,60302,681.1760211,40040.48899,2,136000,112.0238726
G24000307011013014,33,2.719559413,60302,867.9899568,40443.8171,,,
G24000307011013015,14,2.461538462,60302,1048.543305,40547.60672,1,129900,105.0970874
G24000307011013016,5,2.676868304,60302,977.5033783,40412.82257,1,95400,73.61111111
G24000307011013018,18,2.461538462,60302,1136.00496,40673.70348,,,
G24000307011014001,154,3.337078652,70359,844.37228,38304.98231,13,256500,97.90167095
G24000307011014005,187,3.337078652,70359,914.7959578,38541.49022,53,177000,83.14390963
G24000307011014006,25,3.337078652,70359,1419.488442,38275.14052,,,
G24000307011014008,21,3.241095326,70359,1230.534369,38666.61592,,,
G24000307011014009,1,3.234536576,70359,872.2583239,38828.11871,,,
G24000307011014010,47,3.227276055,70359,390.5134577,39213.00643,,,
G24000307011014011,148,3.31019633,70359,224.7091328,38926.50594,3,325000,98.36459836
G24000307011014012,12,3.337078652,70359,482.4416317,38532.90939,,,
G24000307011014013,79,3.337078652,70359,314.5236393,38714.01155,2,253000,100.8838384
G24000307011014019,83,3.227280583,70359,1074.393499,39605.62109,1,182000,76.21440536
G24000307011014020,31,2.818181863,70359,632.9886195,40151.42594,,,
G24000307011014022,84,2.807168768,70359,263.6006076,39845.86411,1,193000,136.4922207
G24000307011021001,3,2.983606557,49491,358.6211933,39482.11439,,,
G24000307011021003,53,2.983606557,49491,834.3545831,40020.90788,2,129950,110.18423
G24000307011021004,48,2.983606557,49491,998.6671584,40267.6751,,,
G24000307011021007,33,2.983606557,49491,903.3348963,39986.38131,,,
G24000307011021011,9,2.983606557,49491,579.6447755,39804.68687,,,
G24000307011021013,13,2.983606557,49491,580.0168552,39742.96556,,,
G24000307011021014,7,2.983606557,49491,912.4757118,40125.57231,,,
G24000307011021015,4,2.983606557,49491,534.2552182,39552.52327,,,
G24000307011021023,5,2.983606557,49491,1075.665317,40252.03277,,,
G24000307011021024,5,2.983606557,49491,1000.88589,40395.6671,,,
G24000307011021029,1,2,49491,777.0669112,40825.92739,,,
G24000307011021031,1,2,49491,791.5467979,40682.976,,,
G24000307011021033,11,1.833333333,49491,484.4149296,40506.00877,,,
G24000307011021034,49,3.0625,49491,417.2343674,40500.82419,1,105000,78.35820896
G24000307011021035,47,2.35,49491,357.248959,40501.40063,1,92500,136.0294118
G24000307011021036,33,2.357142857,49491,344.8124444,40452.46604,1,150000,132.5088339
G24000307011021037,47,3.357142857,49491,201.7724786,40604.63312,,,
G24000307011021038,57,2.85,49491,169.0257304,40699.13258,1,147000,74.05541562
G24000307011021039,75,2.884615385,49491,388.8263835,40616.22584,1,109450,80.47794118
G24000307011021040,58,3.222222222,49491,401.7371872,40687.3001,4,82231.5,51.69434559
G24000307011021041,74,2.789473684,49491,285.8208666,41295.96631,2,114900,97.121727
G24000307011021042,63,3,49491,243.4399362,40914.48568,3,117900,95.2023988
G24000307011021043,34,2.615384615,49491,76.9580362,40852.97983,,,
G24000307011021044,81,3.115384615,49491,108.4034446,40935.84262,2,78200,82.515625
G24000307011021045,102,3.290322581,49491,464.3850223,40825.72334,2,110000,97.98230575
G24000307011021046,13,2.789473684,49491,589.0425907,41343.93147,,,
G24000307011021048,48,2.4,49491,67.20217468,41014.35796,3,133500,92.88129496
G24000307011021049,15,2.789473684,49491,520.171167,41406.39849,,,
G24000307011021051,62,2.952380952,49491,426.635199,40757.20425,3,114150,85.6981982
