GISJOIN,Shape_Area,fld_area,perc_fld_area
G24000504001001000,25437.49728,0,0
G24000504001001001,2061.725889,0,0
G24000504001001002,16706.86382,0,0
G24000504001001003,5312.476642,0,0
G24000504001001004,543.0242335,0,0
G24000504001001007,1701.006629,0,0
G24000504001001012,10666.58564,0,0
G24000504001001013,871.1094206,0,0
G24000504001001014,1449.145852,0,0
G24000504001001015,3405.526225,0,0
G24000504001002000,18299.63668,0,0
G24000504001002004,348.8179882,0,0
G24000504001002011,910.986258,0,0
G24000504001002012,13151.85198,0,0
G24000504001002013,875.1014353,0,0
G24000504001002014,1440.361247,0,0
G24000504001002016,372.7049724,0,0
G24000504001002018,1572.680563,0,0
G24000504001003000,7312.309593,0,0
G24000504001003001,1838.526639,0,0
G24000504001003003,151.1821516,0,0
G24000504001003005,1602.995876,0,0
G24000504001003006,1981.914251,0,0
G24000504001003008,5502.484209,0,0
G24000504001003009,1293.281061,0,0
G24000504001003010,2154.987934,0,0
G24000504001003011,2685.337135,0,0
G24000504001003012,530.3292212,0,0
G24000504001003013,116.8872798,0,0
G24000504001003014,797.6796034,0,0
G24000504001003015,1373.801934,0,0
G24000504001003016,2213.926295,0,0
G24000504002001000,345.4665602,0,0
G24000504002001005,1648.367329,0,0
G24000504002001007,67.96498192,0,0
G24000504002001008,4207.466154,0,0
G24000504002001009,8458.325446,0,0
G24000504002001010,8150.003116,0,0
G24000504002001011,3431.666845,0,0
G24000504002001012,3625.417456,0,0
G24000504002001013,2702.525134,0,0
G24000504002001014,1981.436098,0,0
G24000504002001015,971.7605793,0,0
G24000504002001016,1323.531816,0,0
G24000504002001017,1638.584356,0,0
G24000504002001018,1481.562128,0,0
G24000504002001019,901.7881628,0,0
G24000504002001020,854.1589402,0,0
G24000504002001021,940.4586108,0,0
G24000504002001022,2673.331167,0,0
G24000504002001023,665.1418207,0,0
G24000504002002000,3857.638143,0,0
G24000504002002002,498.4799654,0,0
G24000504002002003,1728.120374,0,0
G24000504002002004,1657.970759,0,0
G24000504002002005,1393.741498,0,0
G24000504002002007,680.9515978,0,0
G24000504002002008,1417.127243,0,0
G24000504002002009,1621.082152,0,0
G24000504002002010,7204.280236,0,0
G24000504002002011,2129.612421,0,0
G24000504002002012,926.1467212,0,0
G24000504002002013,1064.136881,0,0
G24000504002002014,223.0348619,0,0
G24000504002002015,1128.257252,0,0
G24000504002002017,1342.779759,0,0
G24000504002002018,5589.891068,0,0
G24000504002002019,1706.194424,0,0
G24000504002002020,6948.330377,0,0
G24000504002002021,2352.017826,0,0
G24000504002002022,1090.86847,0,0
G24000504002002023,640.7627126,0,0
G24000504002002024,636.8525854,0,0
G24000504002002025,618.0008846,0,0
G24000504002002026,609.6194879,0,0
G24000504002002027,3165.28684,0,0
G24000504004001000,12839.08345,0,0
G24000504004001001,2572.022422,0,0
G24000504004001002,7522.797331,0,0
G24000504004001003,1249.631106,0,0
G24000504004001004,4598.186884,0,0
G24000504004001005,3759.850247,0,0
G24000504004001006,8917.955707,0,0
G24000504004001007,3634.618371,0,0
G24000504004001009,4041.393872,0,0
G24000504004001010,12734.23012,500.0850597,0.03927093
G24000504004001011,1890.969935,0,0
G24000504004001012,2823.195969,0,0
G24000504004001013,4688.170274,0,0
G24000504004001015,1148.771629,0,0
G24000504004001016,450.6696062,0,0
G24000504004001017,2428.625762,0,0
G24000504004001018,2366.731603,0,0
G24000504004002001,5038.726234,0,0
G24000504004002002,8067.201656,0,0
G24000504004002003,8141.744398,0,0
G24000504004002004,405.5801911,0,0
G24000504004002005,2407.387669,0,0
G24000504004002006,8051.409175,0,0
G24000504004002007,16149.57925,0,0
G24000504004002009,1489.691385,0,0
G24000504004002010,922.4578945,0,0
G24000504004002011,2893.773531,0,0
G24000504004002013,10335.72981,0,0
G24000504004002016,8100.634871,0,0
G24000504004002017,1370.296421,0,0
G24000504004002018,258.9857557,0,0
G24000504004002019,18490.1041,0,0
G24000504004002021,3419.396641,0,0
G24000504004002022,5961.546464,0,0
G24000504004002023,21001.39474,0,0
G24000504004002024,8359.228018,0,0
G24000504004002025,3200.384292,0,0
G24000504004003000,1062.882763,0,0
G24000504004003001,3455.432848,0,0
G24000504004003002,7928.242833,0,0
G24000504004003003,2288.228286,0,0
G24000504004003004,2250.429867,0,0
G24000504004003005,5406.945547,0,0
G24000504004003007,2129.973204,0,0
G24000504004003008,1693.31449,0,0
G24000504004003009,7020.211494,0,0
G24000504004003010,3450.595943,0,0
G24000504004003011,4383.926024,0,0
G24000504004003012,5668.929913,0,0
G24000504004003013,3603.314177,0,0
G24000504004003014,1261.147615,0,0
G24000504004003015,2361.031009,0,0
G24000504004003016,5602.091468,0,0
G24000504004004000,4147.805283,0,0
G24000504004004001,2966.984955,0,0
G24000504004004002,3204.898409,0,0
G24000504004004003,3889.348684,0,0
G24000504004004004,10521.09716,0,0
G24000504004004005,4087.61164,0,0
G24000504004004006,3611.92273,0,0
G24000504004004007,1555.442878,0,0
G24000504004004008,3907.365089,0,0
G24000504004004009,3690.626611,0,0
G24000504004004010,1627.441417,0,0
G24000504004005000,25833.6801,0,0
G24000504004005002,1181.120708,0,0
G24000504004005003,26723.29415,0,0
G24000504004005004,2803.366252,0,0
G24000504004005005,755.6299752,0,0
G24000504004005006,11622.62936,0,0
G24000504004005007,4415.828843,0,0
G24000504004005009,2993.279238,0,0
G24000504004005010,4539.423632,0,0
G24000504004005012,411.2616756,0,0
G24000504004005013,5841.205617,0,0
G24000504004005015,1329.173335,0,0
G24000504004005016,24078.82457,0,0
G24000504004005023,32068.42354,0,0
G24000504004005029,383.9440042,0,0
G24000504004005035,110.6387372,0,0
G24000504004005036,5720.888415,0,0
G24000504005001000,3188.074485,0,0
G24000504005001002,5341.850877,0,0
G24000504005001003,5061.162209,0,0
G24000504005001004,3576.030307,0,0
G24000504005001005,2494.229675,0,0
G24000504005001006,33124.02836,0,0
G24000504005001007,786.4921832,0,0
G24000504005001008,1598.610811,0,0
G24000504005001009,669.9918748,0,0
G24000504005001010,1826.276152,0,0
G24000504005001011,1788.689314,0,0
G24000504005001012,3320.731669,0,0
G24000504005001013,1258.402964,0,0
G24000504005001014,2542.444544,0,0
G24000504005001015,4289.586265,0,0
G24000504005001016,1624.019061,0,0
G24000504005001017,2122.983413,0,0
G24000504005001018,21712.97329,223.9809402,0.010315535
G24000504005001023,24427.79824,0,0
G24000504005001026,1713.640501,0,0
G24000504005001027,25549.71221,0,0
G24000504005001028,4224.745855,0,0
G24000504005001029,1713.889444,0,0
G24000504005001031,3502.284855,0,0
G24000504005001033,3563.901709,0,0
G24000504005001034,6919.119065,0,0
G24000504005001035,1450.080483,0,0
G24000504005001037,3684.26882,0,0
G24000504006001001,365.1501799,0,0
G24000504006001002,1938.308485,0,0
G24000504006001003,2281.775885,0,0
G24000504006001005,1312.947505,0,0
G24000504006001007,5760.763193,0,0
G24000504006001008,4435.373829,0,0
G24000504006001009,1403.273646,0,0
G24000504006001010,1061.358188,0,0
G24000504006001011,2434.449391,0,0
G24000504006001012,910.3263222,0,0
G24000504006001013,1072.223325,0,0
G24000504006001014,1075.887016,0,0
G24000504006001015,1057.693115,0,0
G24000504006002000,1797.364538,0,0
G24000504006002001,3307.007771,0,0
G24000504006002002,14039.21703,0,0
G24000504006002003,1729.444198,0,0
G24000504006002005,9950.951143,1962.503885,0.197217719
G24000504006002007,14032.31395,0,0
G24000504006002008,2059.295765,0,0
G24000504006003000,1925.497582,0,0
G24000504006003001,4697.782432,0,0
G24000504006003002,7595.492942,0,0
G24000504006003003,23939.36883,0,0
G24000504006003004,2756.585087,0,0
G24000504006003005,2054.977318,0,0
G24000504006003006,4214.579816,0,0
G24000504006003008,2231.765598,0,0
G24000504006003010,3262.679978,0,0
G24000504006003011,1170.02852,0,0
G24000504006003013,118.6845145,0,0
G24000504007011000,2754.449489,0,0
G24000504007011001,251.1021539,0,0
G24000504007011002,1954.986635,0,0
G24000504007011003,1666.676028,0,0
G24000504007011004,604.3933573,0,0
G24000504007011005,2125.360523,0,0
G24000504007011006,2617.170538,0,0
G24000504007011007,2671.44162,0,0
G24000504007011008,1318.225488,0,0
G24000504007011009,1166.589918,0,0
G24000504007011010,631.7109013,0,0
G24000504007011011,2686.892186,0,0
G24000504007011012,2306.683418,0,0
G24000504007011013,1025.857534,0,0
G24000504007011014,1493.401334,0,0
G24000504007011015,1568.333051,0,0
G24000504007011016,1619.059317,0,0
G24000504007011017,2148.807234,0,0
G24000504007011018,611.7980831,0,0
G24000504007011019,599.934135,0,0
G24000504007011020,396.9393766,0,0
G24000504007011021,253.1479098,0,0
G24000504007011022,2401.764404,0,0
G24000504007011023,5106.963802,0,0
G24000504007011024,1582.998601,0,0
G24000504007011025,1603.73935,0,0
G24000504007011026,521.2597948,0,0
G24000504007011027,706.7895726,0,0
G24000504007012001,1354.116512,0,0
G24000504007012002,539.2432686,0,0
G24000504007012004,43183.74856,0,0
G24000504007012007,2400.863873,0,0
G24000504007012008,457.9631568,0,0
G24000504007012009,2130.888661,0,0
G24000504007012010,861.1137847,0,0
G24000504007012011,548.492066,0,0
G24000504007012012,9946.864381,0,0
G24000504007012013,1852.002431,0,0
G24000504007012014,3349.98955,0,0
G24000504007012015,1577.899435,0,0
G24000504007012016,2253.17658,0,0
G24000504007012017,887.0622084,0,0
G24000504007012019,287.8974796,0,0
G24000504007012023,1116.444916,0,0
G24000504007012024,2942.424382,0,0
G24000504007012026,1173.714859,0,0
G24000504007012027,2557.675466,0,0
G24000504007012028,265.5938021,0,0
G24000504007012029,2406.808834,0,0
G24000504007012030,3234.094229,0,0
G24000504007012031,12398.542,0,0
G24000504007012033,460.0810511,0,0
G24000504007012035,4699.503222,0,0
G24000504007012036,773.7593451,0,0
G24000504007012037,1046.808528,0,0
G24000504007012041,981.4335753,0,0
G24000504007021003,2877.319838,0,0
G24000504007021004,424.7467741,0,0
G24000504007021005,1787.983381,0,0
G24000504007021006,914.9716105,0,0
G24000504007021007,2034.466403,0,0
G24000504007021008,676.5894498,0,0
G24000504007021009,1904.700904,0,0
G24000504007021010,511.1440649,0,0
G24000504007021011,1295.804475,0,0
G24000504007021012,1390.572042,0,0
G24000504007021013,4283.871862,0,0
G24000504007021014,1476.586838,0,0
G24000504007021016,997.8001443,0,0
G24000504007021017,1012.564114,0,0
G24000504007021018,7748.162731,0,0
G24000504007021019,10054.42237,0,0
G24000504007021020,15541.34654,0,0
G24000504007021021,1890.201152,0,0
G24000504007021022,5750.317983,0,0
G24000504007021023,7862.572763,0,0
G24000504007021024,6925.635489,0,0
G24000504007021025,4941.948569,0,0
G24000504007021026,492.7189414,0,0
G24000504007021028,1646.562967,0,0
G24000504007021030,3588.896261,0,0
G24000504007021032,759.206519,0,0
G24000504007021033,571.8789758,0,0
G24000504007021034,8586.331877,0,0
G24000504007021035,1926.865743,0,0
G24000504007021036,3940.532794,0,0
