GISJOIN,perc_fld_area
G24000504001002002,0.011298155
G24000504001002011,0.011298155
G24000504001002012,0.011298155
G24000504001002003,0.011298155
G24000504001002014,0.011298155
G24000504001002015,0.011298155
G24000504001002016,0.011298155
G24000504001002007,0.011298155
G24000504001002000,0.011298155
G24000504001002001,0.011298155
G24000504001002009,0.011298155
G24000504001002005,0.011298155
G24000504001002013,0.011298155
G24000504001002008,0.011298155
G24000504001002017,0.011298155
G24000504001002004,0.011298155
G24000504001002010,0.011298155
G24000504001002006,0.011298155
G24000504001002018,0.011298155
G24000504001003018,0.032617528
G24000504001003017,0.032617528
G24000504001003013,0.032617528
G24000504001003006,0.032617528
G24000504001003005,0.032617528
G24000504001003011,0.032617528
G24000504001003014,0.032617528
G24000504001003012,0.032617528
G24000504001003008,0.032617528
G24000504001003004,0.032617528
G24000504001003001,0.032617528
G24000504001003019,0.032617528
G24000504001003009,0.032617528
G24000504001003016,0.032617528
G24000504001003015,0.032617528
G24000504001003010,0.032617528
G24000504001003000,0.032617528
G24000504001003003,0.032617528
G24000504001003002,0.032617528
G24000504001003007,0.032617528
G24000504005001021,0.015432473
G24000504005001028,0.015432473
G24000504005001025,0.015432473
G24000504005001033,0.015432473
G24000504005001020,0.015432473
G24000504005001031,0.015432473
G24000504005001003,0.015432473
G24000504005001023,0.015432473
G24000504005001022,0.015432473
G24000504005001014,0.015432473
G24000504005001015,0.015432473
G24000504005001002,0.015432473
G24000504005001006,0.015432473
G24000504005001005,0.015432473
G24000504005001035,0.015432473
G24000504005001009,0.015432473
G24000504005001018,0.015432473
G24000504005001019,0.015432473
G24000504005001038,0.015432473
G24000504005001007,0.015432473
G24000504005001029,0.015432473
G24000504005001001,0.015432473
G24000504005001034,0.015432473
G24000504005001036,0.015432473
G24000504005001017,0.015432473
G24000504005001012,0.015432473
G24000504005001011,0.015432473
G24000504005001027,0.015432473
G24000504005001037,0.015432473
G24000504005001032,0.015432473
G24000504005001030,0.015432473
G24000504005001024,0.015432473
G24000504005001008,0.015432473
G24000504005001013,0.015432473
G24000504005001004,0.015432473
G24000504005001026,0.015432473
G24000504005001010,0.015432473
G24000504005001016,0.015432473
G24000504005001000,0.015432473
G24000504006001007,8.71E-05
G24000504006001005,8.71E-05
G24000504006001008,8.71E-05
G24000504006001016,8.71E-05
G24000504006001012,8.71E-05
G24000504006001006,8.71E-05
G24000504006001013,8.71E-05
G24000504006001003,8.71E-05
G24000504006001009,8.71E-05
G24000504006001001,8.71E-05
G24000504006001010,8.71E-05
G24000504006001015,8.71E-05
G24000504006001004,8.71E-05
G24000504006001002,8.71E-05
G24000504006001014,8.71E-05
G24000504006001000,8.71E-05
G24000504006001011,8.71E-05
G24000504006002007,0.124805618
G24000504006002005,0.124805618
G24000504006002001,0.124805618
G24000504006002006,0.124805618
G24000504006002008,0.124805618
G24000504006002002,0.124805618
G24000504006002003,0.124805618
G24000504006002004,0.124805618
G24000504006002000,0.124805618
G24000504006003011,0.080758614
G24000504006003003,0.080758614
G24000504006003012,0.080758614
G24000504006003007,0.080758614
G24000504006003000,0.080758614
G24000504006003009,0.080758614
G24000504006003004,0.080758614
G24000504006003002,0.080758614
G24000504006003005,0.080758614
G24000504006003010,0.080758614
G24000504006003006,0.080758614
G24000504006003001,0.080758614
G24000504006003013,0.080758614
G24000504006003008,0.080758614
G24000504007012038,0.036066248
G24000504007012027,0.036066248
G24000504007012008,0.036066248
G24000504007012041,0.036066248
G24000504007012029,0.036066248
G24000504007012000,0.036066248
G24000504007012023,0.036066248
G24000504007012020,0.036066248
G24000504007012040,0.036066248
G24000504007012026,0.036066248
G24000504007012003,0.036066248
G24000504007012009,0.036066248
G24000504007012030,0.036066248
G24000504007012014,0.036066248
G24000504007012032,0.036066248
G24000504007012002,0.036066248
G24000504007012022,0.036066248
G24000504007012007,0.036066248
G24000504007012018,0.036066248
G24000504007012004,0.036066248
G24000504007012025,0.036066248
G24000504007012015,0.036066248
G24000504007012005,0.036066248
G24000504007012037,0.036066248
G24000504007012035,0.036066248
G24000504007012011,0.036066248
G24000504007012036,0.036066248
G24000504007012016,0.036066248
G24000504007012013,0.036066248
G24000504007012001,0.036066248
G24000504007012010,0.036066248
G24000504007012019,0.036066248
G24000504007012012,0.036066248
G24000504007012039,0.036066248
G24000504007012028,0.036066248
G24000504007012033,0.036066248
G24000504007012017,0.036066248
G24000504007012006,0.036066248
G24000504007012021,0.036066248
G24000504007012024,0.036066248
G24000504007012031,0.036066248
G24000504007012034,0.036066248
G24000504008001026,0.001731075
G24000504008001019,0.001731075
G24000504008001013,0.001731075
G24000504008001005,0.001731075
G24000504008001002,0.001731075
G24000504008001008,0.001731075
G24000504008001011,0.001731075
G24000504008001018,0.001731075
G24000504008001033,0.001731075
G24000504008001030,0.001731075
G24000504008001029,0.001731075
G24000504008001032,0.001731075
G24000504008001007,0.001731075
G24000504008001010,0.001731075
G24000504008001009,0.001731075
G24000504008001014,0.001731075
G24000504008001021,0.001731075
G24000504008001001,0.001731075
G24000504008001035,0.001731075
G24000504008001024,0.001731075
G24000504008001015,0.001731075
G24000504008001016,0.001731075
G24000504008001025,0.001731075
