GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504001001000,315,146000,1313.84127,45.38095238,1.820634921,1.876190476,0,0.101299547,0.775454861,0.717959841,-0.784887368,1,-15339.53452
G24000504001001001,36,187500,1428.888889,36.83333333,2,2.333333333,0,0.119466288,0.827168811,0.6563147,-0.672654691,1,-12062.91028
G24000504001001002,40,156500,1398.45,71.05,1.55,1.8,0,0.114659796,0.620154556,0.810973085,-0.803592814,1,3925.625724
G24000504001001012,157,162000,1371.10828,35.2866242,2,1.942675159,0,0.110342367,0.836526556,0.6563147,-0.768564781,1,-11347.41682
G24000504001003000,65,170000,1227.030769,80.69230769,1.646153846,1.738461538,0,0.087591625,0.561817631,0.777926421,-0.818701059,1,46323.61116
G24000504002001008,52,139500,1199.269231,76.61538462,2,1.25,0,0.083207904,0.586483423,0.6563147,-0.938622754,1,51868.60423
G24000504002001009,108,125050,1573.259259,78.5,1.888888889,2.111111111,0,0.142263274,0.575081312,0.694501955,-0.727212242,1,-47058.7894
G24000504002001010,35,195000,1628.8,75.4,1.928571429,1.8,0,0.151033505,0.593836622,0.68086365,-0.803592814,1,34017.90077
G24000504002001011,51,165000,1456.980392,80.11764706,1.941176471,1.862745098,0,0.123902112,0.565294385,0.676531482,-0.788188329,1,20155.14738
G24000504002001012,37,211000,1754.405405,79.72972973,2.121621622,1.702702703,0,0.170867386,0.567641324,0.614515136,-0.827480175,1,52042.34503
G24000504002001017,46,156950,1102,67,2,1,0,0.067848483,0.644657461,0.6563147,-1,1,85228.01528
G24000504002001022,68,102500,1109.676471,69.82352941,2,1.073529412,0,0.069060646,0.627574826,0.6563147,-0.981947869,1,28025.49205
G24000504002002003,37,142500,1169.108108,78.35135135,2,1.675675676,0,0.078445274,0.575980651,0.6563147,-0.834115553,1,34927.33941
G24000504002002004,39,109000,1158.153846,77.71794872,1.974358974,2,0,0.076715527,0.5798128,0.665127143,-0.754491018,1,-16981.82356
G24000504002002005,36,121500,1214.416667,81.55555556,2,1.25,0,0.085599779,0.556594895,0.6563147,-0.938622754,1,36152.58395
G24000504002002008,33,140000,1230.121212,78.63636364,2,1.575757576,0,0.088079625,0.574256298,0.6563147,-0.858646344,1,32651.02426
G24000504002002010,129,132900,1293.635659,70.99224806,1.984496124,1.511627907,0,0.098108955,0.620503961,0.661643154,-0.874390753,1,17224.56584
G24000504002002018,46,370500,2080,34.15217391,1.967391304,2.434782609,0,0.222280814,0.843390093,0.667521829,-0.647747982,1,102352.8531
G24000504002002019,35,209000,1253.4,80.65714286,1.628571429,1.6,0,0.091755492,0.562030382,0.78396924,-0.852694611,1,90232.2373
G24000504002002020,57,229000,1454.736842,70.94736842,1.561403509,1.929824561,0,0.123547842,0.620775488,0.807053867,-0.771719718,1,64123.60994
G24000504004001010,97,207500,1480.546392,59.22680412,1.329896907,1.969072165,0.03927093,0.127623331,0.691686074,0.886619282,-0.762084079,0.96072907,24662.42022
G24000504004002001,41,151000,1908.585366,98.07317073,2.085365854,2.170731707,0,0.195213369,0.456661672,0.626975711,-0.71257485,1,-35831.05936
G24000504004002002,58,184800,1522.37931,84.22413793,1.767241379,1.534482759,0,0.134229011,0.540449705,0.736310416,-0.868779682,1,51097.64723
G24000504004002003,45,180000,1799.177778,76.37777778,1.944444444,1.8,0,0.177937225,0.587920968,0.675408328,-0.803592814,1,4438.532779
G24000504004002007,99,167640,1658.131313,61.68686869,1.924242424,1.777777778,0,0.155665104,0.676802437,0.682351465,-0.80904857,1,-5119.572756
G24000504004002019,106,528906,2832.783019,24.91509434,1.613207547,2.726415094,0,0.341149972,0.899275348,0.78924958,-0.576149588,1,159038.3886
G24000504004002023,55,358000,2001.418182,44.38181818,1.672727273,2.072727273,0,0.209872252,0.781499723,0.768793525,-0.736635819,1,117681.2732
G24000504004002024,56,347450,2285.982143,37.19642857,2.026785714,2.428571429,0,0.254806686,0.824972048,0.647108844,-0.649272883,1,64433.18961
G24000504004003001,32,155500,1699.59375,92.96875,2.078125,1.21875,0,0.162212282,0.487543928,0.629464286,-0.94629491,1,37661.68313
G24000504004003002,44,312500,1703.613636,85.43181818,1.488636364,1.840909091,0,0.162847048,0.533143119,0.832062865,-0.793549265,1,138639.9552
G24000504004003009,66,220500,1482.454545,83.60606061,1.727272727,1.606060606,0,0.127924641,0.544189134,0.750047054,-0.851206678,1,84967.60619
G24000504004003016,38,306500,1615.578947,70.15789474,1.618421053,1.947368421,0,0.148945818,0.625551882,0.787457775,-0.767412543,1,126659.4206
G24000504004004003,30,240000,1642.4,87.46666667,1.983333333,1.566666667,0,0.153181031,0.520832082,0.662042788,-0.860878244,1,101305.7346
G24000504004004004,79,278000,1577.620253,66.30379747,1.613924051,1.759493671,0,0.142951903,0.648869556,0.789003328,-0.813537482,1,109273.536
G24000504004004005,43,237500,1347.046512,69.93023256,1.511627907,1.720930233,0,0.106542863,0.626929261,0.824161009,-0.823005152,1,92319.88315
G24000504004004008,31,265000,1235.096774,66.87096774,1.064516129,1.677419355,0,0.088865298,0.645438119,0.977826755,-0.833687464,1,118990.2603
