GISJOIN,N,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504001001,617,160000,1379.23825,44.726094,1.846839546,1.931928687,0,0.180292171,0.7585322,0.626999249,-0.626800392,1,-12491.66345
G24000504001003,243,135000,1407.563786,82.57613169,1.732510288,1.596707819,0,0.189213859,0.526870955,0.681498699,-0.762681009,1,9501.2472
G24000504002001,513,150000,1347.253411,74.09161793,1.972709552,1.530214425,0,0.170217914,0.578800441,0.566998457,-0.789633876,1,40463.48444
G24000504002002,642,163717.5,1353.087227,71.78971963,1.915109034,1.585669782,0,0.17205539,0.592889215,0.594455965,-0.767155239,1,44398.51912
G24000504004001,283,207500,1728.840989,75.91519435,1.734982332,1.869257951,0.006438844,0.290406468,0.567639238,0.680320304,-0.652203757,0.98757312,39199.00471
G24000504004002,541,230000,1923.462107,58.00739372,1.816081331,2.036968577,0,0.351706237,0.677243974,0.641661339,-0.584222836,1,29605.44846
G24000504004003,349,250000,1837.446991,81.80802292,1.79512894,1.756446991,0,0.324614076,0.531572166,0.651649104,-0.697931289,1,92951.95397
G24000504004004,304,262500,1513.157895,72.51315789,1.5,1.661184211,0,0.222472812,0.58846141,0.792333695,-0.736545727,1,105677.5432
G24000504004005,725,280000,2285.444138,29.87310345,1.94137931,2.417931034,0,0.465719636,0.849439964,0.581933225,-0.429801024,1,17030.3302
G24000504005001,749,3.00E+05,2135.94526,55.23364486,1.770360481,2.120160214,0.001292946,0.418632008,0.69422071,0.663455945,-0.550501395,0.997504631,77532.23153
G24000504006001,340,118450,1300.620588,76.95588235,2.008823529,1.555882353,0,0.155529984,0.561269704,0.549783337,-0.77922947,1,13381.74422
G24000504006002,545,143000,1353.827523,82.54862385,1.942201835,1.532110092,0.041732434,0.172288561,0.527039317,0.581541137,-0.788865474,0.919456976,38662.46031
G24000504006003,531,190000,1482.071563,80.53672316,1.740112994,1.738229755,0,0.212681557,0.53935316,0.677874576,-0.705315582,1,48246.5271
G24000504007011,723,185000,1346.659751,69.48962656,2.000691563,1.865836791,0,0.170030929,0.60696694,0.553659752,-0.653590513,1,46602.22593
G24000504007012,363,152000,1368.360882,44.44077135,1.805785124,1.887052342,0,0.176866129,0.760278518,0.646569423,-0.644990863,1,-18889.54833
G24000504007021,841,147900,1461.419738,76.57193817,1.887633769,1.736028537,0,0.206176856,0.563619635,0.60755311,-0.706207838,1,12922.236
G24000504008001,610,130500,1248.829508,69.13114754,1.58852459,1.524590164,0,0.13921736,0.609161012,0.750135035,-0.79191365,1,635.3800384
G24000504008002,343,210000,1676.38484,74.06413994,1.849854227,1.699708455,0,0.273884366,0.57896862,0.625562185,-0.720930058,1,63091.26964
G24000504009001,539,186000,1517.185529,70.18923933,1.569573284,1.743970315,0.001797832,0.223741395,0.602684959,0.759168906,-0.702988666,0.996530209,24625.69382
G24000504010001,286,166000,1798.230769,90.49300699,1.975524476,1.744755245,0,0.312262151,0.478415701,0.565656615,-0.702670498,1,28652.16182
G24000504010002,281,255000,2053.768683,78.52313167,1.989323843,1.939501779,0.00136757,0.39274887,0.551677351,0.559078614,-0.623730665,0.997360608,81038.22478
G24000504011011,492,129950,1385.292683,51.5995935,1.68699187,1.386178862,0,0.182199135,0.71646293,0.703196809,-0.848018192,1,-2891.240498
G24000504011012,821,118900,1316.883069,64.31790499,1.583434836,1.243605359,0,0.160652174,0.638620474,0.752561263,-0.905809867,1,4452.108605
G24000504011013,946,122100,1199.136364,59.47780127,1.276427061,1.515856237,0,0.123565521,0.668244341,0.898908358,-0.795453917,1,-29616.95957
G24000504011014,197,133000,1413.817259,46.5786802,1.913705584,1.47715736,0,0.191183514,0.747193442,0.595124974,-0.811140373,1,702.6961164
G24000504011021,179,97500,1277.329609,65.16759777,1.377094972,1.189944134,0.09907308,0.14819403,0.633419928,0.850921116,-0.927561259,0.808790316,-19009.00109
G24000504012001,582,105000.5,1386.164948,78.04982818,1.493986254,1.66838488,0,0.182473872,0.554574206,0.795200379,-0.733626961,1,-42259.68362
G24000504012002,956,114850,1497.990586,70.07217573,1.698221757,1.693514644,0.004960061,0.217695568,0.603401447,0.69784365,-0.723440698,0.99042715,-34080.71627
G24000504013011,938,93050,1169.626866,64.35820896,2,1.203624733,0.011250941,0.114270921,0.638373794,0.553989413,-0.922015875,0.978285839,13559.86632
G24000504013012,500,96450,1225.304,64.064,1.999,1.326,0,0.131807535,0.640174501,0.554466101,-0.872411485,1,3670.844213
G24000504013013,578,119450,1247.918685,64.816609,1.509515571,1.53633218,0,0.138930478,0.635568155,0.787797731,-0.787154065,1,-19042.10974
G24000504013021,727,95790,1183.020633,70.24621733,1.917469051,1.308115543,0.002800918,0.118489553,0.602336225,0.593330972,-0.879660888,0.994594267,6541.616237
G24000504013022,420,98950,1226.738095,67.41666667,2,1.364285714,0,0.132259232,0.619654496,0.553989413,-0.856892504,1,5537.281727
G24000504014001,572,275000,1951.33042,62.55944056,1.763986014,1.902097902,0.051608301,0.360483913,0.64938316,0.666494581,-0.638892197,0.900396689,85937.66525
G24000504015031,415,276900,1739.009639,40.51084337,1.775903614,2.14939759,0,0.293609285,0.784331651,0.660813597,-0.538650125,1,61511.8496
G24000504015032,450,235000,1688.668889,60.54222222,1.583333333,1.735555556,0,0.27775347,0.66172955,0.752609648,-0.70639956,1,59279.00973
G24000504015033,461,196030,1518.069414,64.30368764,1.853579176,1.861171367,0.088549442,0.224019792,0.638707492,0.623786545,-0.655481626,0.829100792,39624.09192
G24000504015034,658,240000,1658.101824,71.75987842,2.058510638,1.962006079,0.008607167,0.268125769,0.593071859,0.52609806,-0.614608625,0.983388286,83373.41417
G24000504015035,573,215000,1557.120419,53.06631763,1.610820244,1.837696335,0,0.236319678,0.707485841,0.739506952,-0.664997149,1,33730.28596
G24000504015041,649,225000,1873.488444,41.37596302,1.671802773,2.166409861,0,0.335966044,0.779036684,0.710437277,-0.53175426,1,-3891.463847
G24000504015042,439,221472,1836.610478,48.90432802,1.562642369,2.248291572,0,0.324350599,0.732959309,0.762472794,-0.498563793,1,-12894.35456
G24000504015043,721,189000,1616.332871,38.7073509,1.979195562,2.097087379,0,0.254969811,0.795369931,0.56390665,-0.559853888,1,-5619.0469
G24000504015051,311,157605,1465.122186,52.55948553,1.508038585,1.665594855,0,0.207343016,0.710587908,0.788501793,-0.734757887,1,-11408.50243
G24000504015052,518,150100,1379.942085,48.36293436,1.608108108,1.766409266,0,0.180513858,0.73627291,0.740799796,-0.693893115,1,-20101.77002
