         433883964 function calls (412775937 primitive calls) in 186.791 seconds

   Ordered by: cumulative time
   List reduced from 1768 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  186.791  186.791 /Users/d3y010/repos/github/icom_abm/chance_c/model.py:210(run_simulation)
        1    0.038    0.038  175.846  175.846 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pynsim/simulators/simulator.py:107(start)
        3    0.391    0.130  116.759   38.920 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/existing_agent_relocation.py:225(run)
   123743    0.161    0.000   80.611    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:659(_constructor_from_mgr)
    91225    0.224    0.000   80.182    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:23(_geodataframe_constructor_with_fallback)
   709391    0.447    0.000   75.535    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
    91226    0.628    0.000   68.575    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:130(__init__)
   536397    0.229    0.000   65.656    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arraylike.py:38(__eq__)
   480798    0.703    0.000   65.479    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:6121(_cmp_method)
   239673    0.388    0.000   58.954    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:1518(__setitem__)
